gcf	phylum
GCF000312345	Actinobacteria
GCF900120415	Firmicutes
GCF000576555	Bacteroidetes
GCF001439915	Firmicutes
GCF000967245	Firmicutes
GCF900188085	not_annotated
GCF900129465	Bacteroidetes
GCF000160055	Firmicutes
GCF001500315	Firmicutes
GCF000301035	Firmicutes
GCF900120165	Firmicutes
GCF000513215	Proteobacteria
GCF001399675	Firmicutes
GCF002025665	Bacteroidetes
GCF000763315	Firmicutes
GCF900107765	Bacteroidetes
GCF000384175	Actinobacteria
GCF000020205	Proteobacteria
GCF000157975	Firmicutes
GCF001046855	Actinobacteria
GCF900113935	Proteobacteria
GCF900155735	not_annotated
GCF001598555	Proteobacteria
GCF000259075	Bacteroidetes
GCF000193395	Bacteroidetes
GCF900110255	Actinobacteria
GCF001633165	Proteobacteria
GCF000348945	Actinobacteria
GCF000956415	Actinobacteria
GCF001570925	Actinobacteria
GCF000307875	Firmicutes
GCF000312025	Firmicutes
GCF000744255	Firmicutes
GCF001559595	Proteobacteria
GCF000821045	Proteobacteria
GCF000092425	Deinococcus-Thermus
GCF900095705	Fusobacteria
GCF001458175	Proteobacteria
GCF001913135	Proteobacteria
GCF000307225	not_annotated
GCF000341005	Actinobacteria
GCF900105865	Actinobacteria
GCF001431525	Proteobacteria
GCF000743705	Proteobacteria
GCF900188035	not_annotated
GCF000959245	Proteobacteria
GCF001682385	Proteobacteria
GCF000259175	Proteobacteria
GCF000154065	Firmicutes
GCF001593985	Firmicutes
GCF001433765	Firmicutes
GCF002215215	not_annotated
GCF001437405	Firmicutes
GCF000177375	Firmicutes
GCF900156505	Proteobacteria
GCF900105355	Proteobacteria
GCF000346505	not_annotated
GCF000224085	Bacteroidetes
GCF001598455	Proteobacteria
GCF000956575	Actinobacteria
GCF001956915	Actinobacteria
GCF000745915	Deinococcus-Thermus
GCF001870225	not_annotated
GCF900155435	Actinobacteria
GCF000518685	Firmicutes
GCF000685295	Proteobacteria
GCF900102365	Firmicutes
GCF900089605	Actinobacteria
GCF900176305	Firmicutes
GCF000469465	Firmicutes
GCF001436295	Firmicutes
GCF002019635	Firmicutes
GCF900103545	Bacteroidetes
GCF900104445	Proteobacteria
GCF000168295	Proteobacteria
GCF002078015	Bacteroidetes
GCF900114795	Proteobacteria
GCF001612945	Actinobacteria
GCF900199195	not_annotated
GCF001262015	Bacteroidetes
GCF000204015	Proteobacteria
GCF000158455	Proteobacteria
GCF001878855	not_annotated
GCF900090285	not_annotated
GCF900107695	Proteobacteria
GCF001434335	Firmicutes
GCF000442275	Proteobacteria
GCF000736415	Proteobacteria
GCF000009865	Firmicutes
GCF000488215	Proteobacteria
GCF000619845	Proteobacteria
GCF002105195	Proteobacteria
GCF001050475	Firmicutes
GCF000829435	Firmicutes
GCF001509495	not_annotated
GCF000024225	Actinobacteria
GCF900111105	Proteobacteria
GCF900104685	Actinobacteria
GCF001697185	Bacteroidetes
GCF000383855	Proteobacteria
GCF002109385	Firmicutes
GCF000284615	Proteobacteria
GCF000423605	Proteobacteria
GCF000340965	Actinobacteria
GCF900018785	Proteobacteria
GCF001884705	not_annotated
GCF001006305	Acidobacteria
GCF000238055	Firmicutes
GCF900105335	Actinobacteria
GCF001552785	Actinobacteria
GCF900110915	not_annotated
GCF001597285	Proteobacteria
GCF000152805	Proteobacteria
GCF000789235	Bacteroidetes
GCF000023865	Actinobacteria
GCF001939725	Proteobacteria
GCF000598065	Firmicutes
GCF000428925	Firmicutes
GCF900141735	Proteobacteria
GCF000735455	Proteobacteria
GCF000014765	Proteobacteria
GCF000014825	Proteobacteria
GCF001580025	Proteobacteria
GCF000720965	Actinobacteria
GCF000239695	Actinobacteria
GCF001552235	Actinobacteria
GCF000403375	Firmicutes
