gcf	phylum
GCF000255655	Planctomycetes
GCF000238795	Proteobacteria
GCF900107045	Actinobacteria
GCF900143085	Firmicutes
GCF900115165	Proteobacteria
GCF001553545	Bacteroidetes
GCF001039045	Firmicutes
GCF001418655	not_annotated
GCF000271305	Proteobacteria
GCF900089125	Actinobacteria
GCF900115585	Proteobacteria
GCF000829035	Firmicutes
GCF000510425	Firmicutes
GCF900105765	Actinobacteria
GCF000171775	not_annotated
GCF000376545	Proteobacteria
GCF900105025	Actinobacteria
GCF000429665	Proteobacteria
GCF900103695	Firmicutes
GCF000832305	Proteobacteria
GCF000695835	Tenericutes
GCF900114415	Proteobacteria
GCF001590605	Bacteroidetes
GCF001515525	not_annotated
GCF000316515	not_annotated
GCF900142665	Proteobacteria
GCF000152985	Bacteroidetes
GCF000296505	Actinobacteria
GCF002079945	Proteobacteria
GCF900113695	Proteobacteria
GCF900104205	Proteobacteria
GCF000613925	Bacteroidetes
GCF001298525	Proteobacteria
GCF001476695	Proteobacteria
GCF000426465	Bacteroidetes
GCF000331735	Proteobacteria
GCF000620105	Proteobacteria
GCF001484935	Proteobacteria
GCF000178875	Proteobacteria
GCF900115905	Proteobacteria
GCF900142325	Bacteroidetes
GCF900142105	Firmicutes
GCF000017465	Proteobacteria
GCF001571775	Firmicutes
GCF000292245	Firmicutes
GCF000315505	Firmicutes
GCF001722355	not_annotated
GCF000421165	Proteobacteria
GCF001676655	Proteobacteria
GCF900142065	Actinobacteria
GCF001591645	Firmicutes
GCF000382165	Proteobacteria
GCF000321025	Firmicutes
GCF900156515	Proteobacteria
GCF000828615	Proteobacteria
GCF002224365	not_annotated
GCF000286435	Proteobacteria
GCF002215135	Proteobacteria
GCF900104485	Proteobacteria
GCF000010165	Firmicutes
GCF001552155	not_annotated
GCF001039475	Firmicutes
GCF000379985	Firmicutes
GCF900168055	Bacteroidetes
GCF000225325	Firmicutes
GCF000737865	Actinobacteria
GCF000092645	Actinobacteria
GCF000015745	Firmicutes
GCF001476815	Proteobacteria
GCF900110105	Bacteroidetes
GCF001571085	not_annotated
GCF000421845	Actinobacteria
GCF900112345	Actinobacteria
GCF001747425	Actinobacteria
GCF001989575	Firmicutes
GCF001650715	Proteobacteria
GCF001507645	Bacteroidetes
GCF001580455	Proteobacteria
GCF001007935	Proteobacteria
GCF900172375	not_annotated
GCF001286805	Firmicutes
GCF000469625	Firmicutes
GCF001247745	Actinobacteria
GCF001590685	Firmicutes
GCF001816165	not_annotated
GCF000744555	Bacteroidetes
GCF001704615	Proteobacteria
GCF900109455	Proteobacteria
GCF000407185	Firmicutes
GCF000743535	Proteobacteria
GCF900115065	Proteobacteria
GCF000621145	Proteobacteria
GCF900162695	Firmicutes
GCF001294535	Proteobacteria
GCF000757785	Proteobacteria
GCF001758465	Proteobacteria
GCF000427885	Actinobacteria
GCF001636345	Firmicutes
GCF000318135	Actinobacteria
GCF000376805	Proteobacteria
GCF900098805	Actinobacteria
GCF000382305	Proteobacteria
GCF000265425	Acidobacteria
GCF000384195	Firmicutes
GCF900099695	Proteobacteria
GCF900130035	Bacteroidetes
GCF000745655	Proteobacteria
GCF000423145	Firmicutes
GCF001484065	Proteobacteria
GCF000802385	Proteobacteria
GCF000425585	Bacteroidetes
GCF900105655	Proteobacteria
GCF001619955	Proteobacteria
GCF000341395	Proteobacteria
GCF000234115	Bacteroidetes
GCF900100775	Firmicutes
GCF000008025	Proteobacteria
GCF000314995	Proteobacteria
GCF000155555	not_annotated
GCF000759055	Actinobacteria
GCF001941975	Firmicutes
GCF900142395	Bacteroidetes
GCF001543285	Firmicutes
GCF000183405	Deferribacteres
GCF002104455	Proteobacteria
GCF900104575	Firmicutes
GCF001517915	Fusobacteria
GCF000803645	Proteobacteria
GCF000785435	Proteobacteria
GCF000967895	Proteobacteria
GCF000397205	Proteobacteria
GCF900102695	Proteobacteria
GCF000730385	Proteobacteria
GCF000018105	not_annotated
GCF000420545	Proteobacteria
GCF900102685	Firmicutes
GCF001439665	Bacteroidetes
GCF000400735	Proteobacteria
GCF000411115	Bacteroidetes
GCF002022685	Proteobacteria
GCF000287055	Proteobacteria
GCF000974805	Actinobacteria
GCF900105715	Actinobacteria
GCF001458195	Proteobacteria
GCF001693415	Bacteroidetes
GCF000230695	Proteobacteria
GCF000373105	Bacteroidetes
GCF900162675	Proteobacteria
GCF000691385	Tenericutes
GCF001050155	Proteobacteria
GCF900113665	Planctomycetes
GCF000010065	not_annotated
GCF900176425	Bacteroidetes
GCF900156675	Proteobacteria
GCF001757355	Proteobacteria
GCF000317145	not_annotated
GCF000218565	Proteobacteria
GCF900143515	Actinobacteria
GCF000750535	Firmicutes
GCF000246855	Bacteroidetes
GCF002101995	Actinobacteria
GCF000974685	Proteobacteria
GCF000585235	Proteobacteria
GCF001531445	Firmicutes
GCF000236865	Actinobacteria
GCF000935065	Proteobacteria
GCF900116905	Actinobacteria
GCF000378245	Proteobacteria
GCF000767165	not_annotated
GCF000010185	Firmicutes
GCF001685465	Proteobacteria
GCF000158615	Proteobacteria
GCF001653755	Bacteroidetes
GCF001447195	not_annotated
GCF900172295	not_annotated
GCF900119165	Actinobacteria
GCF000374445	Actinobacteria
GCF000525955	Firmicutes
GCF000511175	Bacteroidetes
GCF000744285	Firmicutes
GCF000696185	Actinobacteria
GCF000455265	Firmicutes
GCF000430825	Bacteroidetes
GCF001618385	Bacteroidetes
GCF001542775	Actinobacteria
GCF001302565	not_annotated
GCF000157935	Bacteroidetes
GCF001907655	Actinobacteria
GCF000763805	Proteobacteria
GCF000585415	not_annotated
GCF000488255	Proteobacteria
GCF000703125	Firmicutes
GCF000243135	Firmicutes
GCF000956525	Actinobacteria
GCF000242455	Planctomycetes
GCF000305785	Proteobacteria
GCF001553605	Proteobacteria
GCF900129705	Bacteroidetes
GCF001695395	Proteobacteria
GCF000159315	Firmicutes
GCF001295265	Bacteroidetes
GCF000172095	Proteobacteria
GCF000465555	Proteobacteria
GCF001543105	Firmicutes
GCF000297025	Firmicutes
GCF900106695	Proteobacteria
GCF900096945	Firmicutes
GCF000620165	Firmicutes
GCF000208405	Firmicutes
GCF002108495	Proteobacteria
GCF000307105	Proteobacteria
GCF900090265	not_annotated
GCF000304395	Proteobacteria
GCF002234495	Bacteroidetes
GCF900104305	Proteobacteria
GCF001921215	Actinobacteria
GCF000374045	Bacteroidetes
GCF000455245	Actinobacteria
GCF000196355	Proteobacteria
GCF000092505	Firmicutes
GCF000317695	not_annotated
GCF000413035	Spirochaetes
GCF000327285	Firmicutes
GCF002017865	Proteobacteria
GCF002015115	Proteobacteria
GCF000425345	Proteobacteria
GCF001709315	Proteobacteria
GCF900142375	Firmicutes
GCF001070855	Actinobacteria
GCF001591585	Firmicutes
GCF000255535	Proteobacteria
GCF002218245	not_annotated
GCF001312505	Firmicutes
GCF000429885	Actinobacteria
GCF001483745	Actinobacteria
GCF000364865	Actinobacteria
GCF000800295	Firmicutes
GCF000204645	Proteobacteria
GCF000347635	Proteobacteria
GCF000192475	Proteobacteria
GCF900167455	Proteobacteria
GCF900188425	not_annotated
GCF000611675	Bacteroidetes
GCF000157955	Firmicutes
GCF000751555	Firmicutes
GCF000622325	Proteobacteria
GCF000767055	Actinobacteria
GCF001642655	Firmicutes
GCF000429325	Proteobacteria
GCF001570885	Actinobacteria
GCF001886715	Actinobacteria
GCF000091465	Proteobacteria
GCF001894765	Actinobacteria
GCF001461035	Firmicutes
GCF000752395	Firmicutes
GCF001544455	Proteobacteria
GCF001294205	Proteobacteria
GCF000308195	Proteobacteria
GCF001562115	Proteobacteria
GCF000285555	Firmicutes
GCF001940285	Firmicutes
GCF001294365	not_annotated
GCF002067135	Bacteroidetes
GCF000381765	Actinobacteria
GCF000816495	Proteobacteria
GCF900108855	Bacteroidetes
GCF900142955	Firmicutes
GCF001570525	Actinobacteria
GCF000741785	Actinobacteria
GCF001723295	not_annotated
GCF000519045	Proteobacteria
GCF000686665	Firmicutes
GCF900142805	Firmicutes
GCF000014265	not_annotated
GCF000877395	Proteobacteria
GCF000243235	Bacteroidetes
GCF000420325	Proteobacteria
GCF000488195	Proteobacteria
GCF000482725	Proteobacteria
GCF000332215	not_annotated
GCF000756655	Proteobacteria
GCF001486665	Firmicutes
GCF900111775	not_annotated
GCF000647975	Proteobacteria
GCF000421185	Actinobacteria
GCF000154785	Proteobacteria
GCF000245775	Firmicutes
GCF000024925	Actinobacteria
GCF900090305	not_annotated
GCF000342165	Proteobacteria
GCF000264765	Proteobacteria
GCF000615975	Proteobacteria
GCF000225705	Actinobacteria
GCF002025645	Actinobacteria
GCF000376585	Proteobacteria
GCF001753595	Proteobacteria
GCF000240075	Bacteroidetes
GCF000368865	Proteobacteria
GCF000178255	Firmicutes
GCF000026125	Proteobacteria
GCF001027865	Proteobacteria
GCF000982715	Actinobacteria
GCF000621525	Proteobacteria
GCF000975055	Actinobacteria
GCF900167075	Bacteroidetes
GCF001591625	Firmicutes
GCF000934705	Proteobacteria
GCF000234585	Actinobacteria
GCF000020025	not_annotated
GCF000687955	Firmicutes
GCF000826145	Firmicutes
GCF000741135	Actinobacteria
GCF001305595	Proteobacteria
GCF000205165	Bacteroidetes
GCF900100885	Actinobacteria
GCF000420805	Actinobacteria
GCF000264455	Proteobacteria
GCF000191065	Bacteroidetes
GCF000091125	Proteobacteria
GCF000763295	Proteobacteria
GCF001617605	Firmicutes
GCF000474725	Proteobacteria
GCF000227745	Proteobacteria
GCF000311865	Firmicutes
GCF900070355	Actinobacteria
GCF000380335	Proteobacteria
GCF000422805	Actinobacteria
GCF001556675	not_annotated
GCF900107235	Proteobacteria
GCF001403875	Firmicutes
GCF900105215	Firmicutes
GCF001483765	Actinobacteria
GCF900104115	Firmicutes
GCF001575205	Actinobacteria
GCF001258055	Proteobacteria
GCF000024345	Actinobacteria
GCF001693675	Actinobacteria
GCF900167905	Bacteroidetes
GCF900114245	Proteobacteria
GCF001273775	Nitrospirae
GCF900107685	Proteobacteria
GCF001299475	Firmicutes
GCF900129405	Bacteroidetes
GCF000724775	Firmicutes
GCF900116045	Proteobacteria
GCF000527135	Proteobacteria
GCF001629795	Firmicutes
GCF000056065	Firmicutes
GCF900102505	Proteobacteria
GCF000196135	Proteobacteria
GCF000234355	Proteobacteria
GCF900111405	Firmicutes
GCF001612885	Actinobacteria
GCF001648555	Firmicutes
GCF001598915	Actinobacteria
GCF000379625	Actinobacteria
GCF000218545	Actinobacteria
GCF000191545	Firmicutes
GCF001403795	Proteobacteria
GCF000194605	Bacteroidetes
GCF002222615	Bacteroidetes
GCF001318345	Bacteroidetes
GCF900129745	Bacteroidetes
GCF000384315	Actinobacteria
GCF000970455	Proteobacteria
GCF000482805	Deinococcus-Thermus
GCF001676705	Proteobacteria
GCF000390185	Bacteroidetes
GCF002008345	Firmicutes
GCF900010755	Actinobacteria
GCF900187365	not_annotated
GCF000466245	Actinobacteria
GCF900106785	Bacteroidetes
GCF001263795	Firmicutes
GCF000331535	Bacteroidetes
GCF000212915	Bacteroidetes
GCF000381365	Bacteroidetes
GCF000744885	Deinococcus-Thermus
GCF900119845	Proteobacteria
GCF900119145	Bacteroidetes
GCF900102875	Proteobacteria
GCF001274715	Firmicutes
GCF000145255	Proteobacteria
GCF000317475	not_annotated
GCF900112585	Proteobacteria
GCF001591025	Proteobacteria
GCF001189495	Firmicutes
GCF000829675	Proteobacteria
GCF000429125	Bacteroidetes
GCF000697965	Proteobacteria
GCF001938945	Proteobacteria
GCF900166575	Firmicutes
GCF000266945	Proteobacteria
GCF001465875	Proteobacteria
GCF900129135	Firmicutes
GCF900172385	not_annotated
GCF000741715	Actinobacteria
GCF000299575	Proteobacteria
GCF000155955	Firmicutes
GCF001974985	Actinobacteria
GCF000420605	Actinobacteria
GCF001655685	Firmicutes
GCF000012585	Chlorobi
GCF000613805	Bacteroidetes
GCF001517975	Actinobacteria
GCF002102105	Actinobacteria
GCF900103845	Proteobacteria
GCF900116135	Actinobacteria
GCF000526735	Firmicutes
GCF001314245	Firmicutes
GCF002086405	Actinobacteria
GCF000375425	Balneolaeota
GCF000174015	Actinobacteria
GCF000166055	Proteobacteria
GCF000785495	Actinobacteria
GCF001644025	Proteobacteria
GCF000020385	Proteobacteria
GCF000210615	Firmicutes
GCF900177465	Proteobacteria
GCF900092335	Actinobacteria
GCF900156285	Firmicutes
GCF001293525	Proteobacteria
GCF000194985	Firmicutes
GCF001047075	Firmicutes
GCF002201315	not_annotated
GCF001436315	Firmicutes
GCF900111505	Firmicutes
GCF000014885	Proteobacteria
GCF000373745	Proteobacteria
GCF000621445	Firmicutes
GCF000014185	Actinobacteria
GCF000632805	Proteobacteria
GCF000012885	Proteobacteria
GCF000559025	Proteobacteria
GCF900107165	Proteobacteria
GCF001267535	Proteobacteria
GCF001553625	Proteobacteria
GCF000298195	Actinobacteria
GCF900113065	Proteobacteria
GCF000503895	Proteobacteria
GCF000519325	Actinobacteria
GCF002155695	not_annotated
GCF000426705	Spirochaetes
GCF001307195	Proteobacteria
GCF000215705	Proteobacteria
GCF000807675	Firmicutes
GCF900100125	Firmicutes
GCF001667945	Actinobacteria
GCF900096585	Actinobacteria
GCF000196495	Proteobacteria
GCF000381725	Fusobacteria
GCF900167935	Bacteroidetes
GCF001015055	not_annotated
GCF900112035	Actinobacteria
GCF900109375	Bacteroidetes
GCF000153465	Proteobacteria
GCF900110285	Proteobacteria
GCF001029445	Proteobacteria
GCF000384395	Proteobacteria
GCF000766945	Proteobacteria
GCF000455485	Firmicutes
GCF001610975	Proteobacteria
GCF900141885	Bacteroidetes
GCF000368825	Proteobacteria
GCF001418585	Actinobacteria
GCF001722485	Actinobacteria
GCF000067165	Proteobacteria
GCF000832905	Firmicutes
GCF000161935	Firmicutes
GCF000317105	not_annotated
GCF000712595	Firmicutes
GCF000832075	Bacteroidetes
GCF002157895	not_annotated
GCF000378765	Bacteroidetes
GCF001642995	Actinobacteria
GCF900103135	Firmicutes
GCF002104335	Proteobacteria
GCF900102315	Proteobacteria
GCF000739375	Proteobacteria
GCF000463665	Actinobacteria
GCF000195635	Bacteroidetes
GCF000744505	Proteobacteria
GCF001723285	Proteobacteria
GCF000153205	Proteobacteria
GCF000737315	Proteobacteria
GCF001314305	Proteobacteria
GCF001267175	Proteobacteria
GCF001902575	Fusobacteria
GCF000971195	Actinobacteria
GCF000504245	not_annotated
GCF001591265	Proteobacteria
GCF001968835	Actinobacteria
GCF900177415	Proteobacteria
GCF001437075	Firmicutes
GCF900096915	not_annotated
GCF900156685	Bacteroidetes
GCF001922025	Firmicutes
GCF000732535	Proteobacteria
GCF000463155	Proteobacteria
GCF000166395	Bacteroidetes
GCF000723465	Firmicutes
GCF001552975	Firmicutes
GCF900115715	Proteobacteria
GCF000185845	Bacteroidetes
GCF000279995	Proteobacteria
GCF000154225	Actinobacteria
GCF000423005	Bacteroidetes
GCF002240375	Firmicutes
GCF001270065	Proteobacteria
GCF900103455	Actinobacteria
GCF000614105	Bacteroidetes
GCF002119805	Firmicutes
GCF900142975	Bacteroidetes
GCF000155735	Proteobacteria
GCF900114675	Proteobacteria
GCF000951135	Proteobacteria
GCF000819865	Proteobacteria
GCF002211445	not_annotated
GCF000153925	Firmicutes
GCF001294625	Actinobacteria
GCF900129475	Bacteroidetes
GCF000691805	Firmicutes
GCF000478885	Actinobacteria
GCF000826685	Actinobacteria
GCF900114635	Proteobacteria
GCF001051995	Proteobacteria
GCF000953135	Proteobacteria
GCF000420305	Proteobacteria
GCF001715195	Balneolaeota
GCF000240225	not_annotated
GCF000517545	Bacteroidetes
GCF000157915	Bacteroidetes
GCF000185365	Firmicutes
GCF002102395	Actinobacteria
GCF000359605	Firmicutes
GCF900111115	Proteobacteria
GCF900112555	Actinobacteria
GCF900112105	Bacteroidetes
GCF002101395	Proteobacteria
GCF002116905	Proteobacteria
GCF900156725	Bacteroidetes
GCF900129545	Bacteroidetes
GCF001547755	Proteobacteria
GCF001444405	Proteobacteria
GCF000091565	Proteobacteria
GCF000975095	Actinobacteria
GCF001703635	Proteobacteria
GCF000807255	Firmicutes
GCF000612125	Firmicutes
GCF001483865	Proteobacteria
GCF000763535	Proteobacteria
GCF000525655	Actinobacteria
GCF000477555	Actinobacteria
GCF000173795	not_annotated
GCF000758965	Actinobacteria
GCF000429445	Bacteroidetes
GCF900112455	Firmicutes
GCF001661915	Proteobacteria
GCF000166195	Bacteroidetes
GCF000224715	Actinobacteria
GCF000019785	Proteobacteria
GCF000981035	Firmicutes
GCF900155535	not_annotated
GCF000785705	Proteobacteria
GCF000380645	Actinobacteria
GCF000190695	Proteobacteria
GCF000702665	Proteobacteria
GCF001592745	Proteobacteria
GCF001748285	Chloroflexi
GCF000821105	Proteobacteria
GCF900156875	Firmicutes
GCF001667375	Actinobacteria
GCF000219805	Firmicutes
GCF900112395	Bacteroidetes
GCF000818015	Proteobacteria
GCF001436645	Firmicutes
GCF900172215	not_annotated
GCF900104645	Firmicutes
GCF001280875	Firmicutes
GCF000696365	Proteobacteria
GCF000403135	Bacteroidetes
GCF000591415	Proteobacteria
GCF000239275	Firmicutes
GCF000380485	Actinobacteria
GCF000468015	Firmicutes
GCF000010505	Bacteroidetes
GCF000018885	Actinobacteria
GCF000016765	Proteobacteria
GCF000283235	Proteobacteria
GCF000740015	Proteobacteria
GCF900114825	Proteobacteria
GCF900156865	Firmicutes
GCF002167005	not_annotated
GCF000262545	Bacteroidetes
GCF000711245	Proteobacteria
GCF000620065	Deinococcus-Thermus
GCF000378125	Proteobacteria
GCF000499785	Bacteroidetes
GCF000024005	Bacteroidetes
GCF001751255	Actinobacteria
GCF000093025	Proteobacteria
GCF000183725	Proteobacteria
GCF900156315	Actinobacteria
GCF001643245	Firmicutes
GCF000018585	not_annotated
GCF000248095	Firmicutes
GCF001879715	Proteobacteria
GCF001619695	Proteobacteria
GCF900107135	Bacteroidetes
GCF001046875	Actinobacteria
GCF000072485	Proteobacteria
GCF000296445	not_annotated
GCF000179915	Acidobacteria
GCF000744825	Firmicutes
GCF001720485	Proteobacteria
GCF900128995	Proteobacteria
GCF000172635	Proteobacteria
GCF000156575	Firmicutes
GCF002117105	Proteobacteria
GCF000024985	not_annotated
GCF000265295	Proteobacteria
GCF900105005	Proteobacteria
GCF900143695	Proteobacteria
GCF001454945	Firmicutes
GCF001639725	Proteobacteria
GCF000070465	Proteobacteria
GCF000425825	Firmicutes
GCF000196815	Nitrospirae
GCF900129155	Proteobacteria
GCF001939075	Firmicutes
GCF001314995	Bacteroidetes
GCF000939975	Proteobacteria
GCF001544615	Proteobacteria
GCF000767175	not_annotated
GCF000420665	Proteobacteria
GCF001517935	Fusobacteria
GCF002160535	not_annotated
GCF002081795	Actinobacteria
GCF000190755	Proteobacteria
GCF000746085	Proteobacteria
GCF000473245	Firmicutes
GCF000812875	Bacteroidetes
GCF000172555	Verrucomicrobia
GCF000188175	Firmicutes
GCF000807215	Proteobacteria
GCF001456065	Firmicutes
GCF000379725	Bacteroidetes
GCF001293125	Actinobacteria
GCF001586255	Proteobacteria
GCF900107855	Proteobacteria
GCF000826645	Bacteroidetes
GCF002015075	Proteobacteria
GCF001888185	Proteobacteria
GCF900142085	Proteobacteria
GCF900113875	Proteobacteria
GCF000380505	Proteobacteria
GCF000566685	Bacteroidetes
GCF000258405	not_annotated
GCF000284075	Proteobacteria
GCF900102025	Actinobacteria
GCF000019945	Proteobacteria
GCF001553195	Tenericutes
GCF000154845	Bacteroidetes
GCF900105065	Actinobacteria
GCF001552635	Actinobacteria
GCF001515545	Proteobacteria
GCF000376825	Actinobacteria
GCF002013645	Actinobacteria
GCF000255295	Proteobacteria
GCF000364225	Firmicutes
GCF001996165	Proteobacteria
GCF001407835	Firmicutes
GCF001931685	Proteobacteria
GCF001439635	Firmicutes
GCF000971275	Proteobacteria
GCF000733725	Proteobacteria
GCF000952155	not_annotated
GCF001975665	Bacteroidetes
GCF000759795	Proteobacteria
GCF000264295	Proteobacteria
GCF002087015	Actinobacteria
GCF000430845	Bacteroidetes
GCF000230555	Proteobacteria
GCF001431645	Proteobacteria
GCF000308835	not_annotated
GCF000367205	Actinobacteria
GCF001921205	Actinobacteria
GCF000717175	Actinobacteria
GCF000511355	Proteobacteria
GCF900167415	Fibrobacteres
GCF001592945	Bacteroidetes
GCF001418345	Proteobacteria
GCF900176635	Firmicutes
GCF000314875	not_annotated
GCF000382125	Bacteroidetes
GCF001475935	Proteobacteria
GCF000012425	Proteobacteria
GCF900187395	not_annotated
GCF900096955	Proteobacteria
GCF000017565	Proteobacteria
GCF001677275	Proteobacteria
GCF000756665	Proteobacteria
GCF000160675	Firmicutes
GCF000754275	Proteobacteria
GCF900141665	Bacteroidetes
GCF000963945	Proteobacteria
GCF900155625	not_annotated
GCF900115395	Actinobacteria
GCF000220215	Bacteroidetes
GCF000231385	Firmicutes
GCF001042675	Actinobacteria
GCF900142265	Firmicutes
GCF001553565	Actinobacteria
GCF001969365	Proteobacteria
GCF000013285	Firmicutes
GCF001263355	Firmicutes
GCF000252165	Proteobacteria
GCF001552075	Actinobacteria
GCF000092245	Proteobacteria
GCF000511775	Bacteroidetes
GCF002102095	Actinobacteria
GCF900128955	Firmicutes
GCF000328305	not_annotated
GCF900113035	Proteobacteria
GCF900120345	Firmicutes
GCF001894985	Actinobacteria
GCF900142985	Proteobacteria
GCF000813345	Proteobacteria
GCF001045555	Proteobacteria
GCF002150765	not_annotated
GCF001552435	not_annotated
GCF000312445	Bacteroidetes
GCF900112995	Firmicutes
GCF900106565	Bacteroidetes
GCF001722335	Actinobacteria
GCF000293805	Firmicutes
GCF000429605	Proteobacteria
GCF900110345	Firmicutes
GCF000510805	Proteobacteria
GCF900099815	Bacteroidetes
GCF900119495	Actinobacteria
GCF000381085	Proteobacteria
GCF000024285	Firmicutes
GCF900105045	Actinobacteria
GCF000174895	Firmicutes
GCF002101905	Actinobacteria
GCF000425185	Proteobacteria
GCF000688395	Actinobacteria
GCF000735105	Bacteroidetes
GCF001936235	Firmicutes
GCF001017435	Proteobacteria
GCF002205845	not_annotated
GCF000770305	Proteobacteria
GCF900095865	Firmicutes
GCF900109295	Proteobacteria
GCF000024025	Actinobacteria
GCF000401215	not_annotated
GCF000285495	Firmicutes
GCF000163775	Proteobacteria
GCF900110615	Bacteroidetes
GCF000806415	Proteobacteria
GCF001519075	Proteobacteria
GCF001273845	Actinobacteria
GCF000816845	Proteobacteria
GCF000952855	Bacteroidetes
GCF000226875	Proteobacteria
GCF000341125	not_annotated
GCF900106665	Proteobacteria
GCF001592965	Bacteroidetes
GCF002056725	Proteobacteria
GCF900177715	not_annotated
GCF900167975	Bacteroidetes
GCF900101465	Actinobacteria
GCF000213975	Firmicutes
GCF900109365	Bacteroidetes
GCF000730165	not_annotated
GCF001683355	Bacteroidetes
GCF900101505	Proteobacteria
GCF001202025	Proteobacteria
GCF900129365	Firmicutes
GCF000170755	Lentisphaerae
GCF001457835	Firmicutes
GCF900110115	Proteobacteria
GCF000346295	not_annotated
GCF002217945	Firmicutes
GCF000236035	Proteobacteria
GCF001469025	Actinobacteria
GCF001281465	Proteobacteria
GCF000383415	Proteobacteria
GCF002102185	Actinobacteria
GCF000155875	Firmicutes
GCF900111495	Bacteroidetes
GCF001484965	Firmicutes
GCF000803105	Bacteroidetes
GCF900108405	Proteobacteria
GCF000447675	Spirochaetes
GCF000210575	Bacteroidetes
GCF000007905	Proteobacteria
GCF000024965	Actinobacteria
GCF000023105	Actinobacteria
GCF000308655	Actinobacteria
GCF001904655	not_annotated
GCF000949455	Firmicutes
GCF000373385	Proteobacteria
GCF001831495	Proteobacteria
GCF000495435	Firmicutes
GCF001298135	Firmicutes
GCF000264315	Proteobacteria
GCF000600335	Proteobacteria
GCF000305495	Firmicutes
GCF900168195	Proteobacteria
GCF900114035	Actinobacteria
GCF000812685	Proteobacteria
GCF000147675	Firmicutes
GCF000178455	Actinobacteria
GCF000972865	Proteobacteria
GCF000411515	Proteobacteria
GCF001679005	Proteobacteria
GCF000190535	Bacteroidetes
GCF001262605	Firmicutes
GCF900099735	Actinobacteria
GCF002201475	not_annotated
GCF001434745	Firmicutes
GCF000176855	Proteobacteria
GCF001592105	Firmicutes
GCF000188035	Firmicutes
GCF000715015	Proteobacteria
GCF001017175	Proteobacteria
GCF002127965	Proteobacteria
GCF000582685	not_annotated
GCF000613345	Bacteroidetes
GCF000427825	Actinobacteria
GCF001708935	Proteobacteria
GCF001661965	Proteobacteria
GCF001579945	Proteobacteria
GCF000820845	not_annotated
GCF000333015	Actinobacteria
GCF000178975	Acidobacteria
GCF900111075	Bacteroidetes
GCF000497205	Actinobacteria
GCF001243895	Firmicutes
GCF000014145	Bacteroidetes
GCF000981525	Firmicutes
GCF000420505	Actinobacteria
GCF000516535	Fusobacteria
GCF001720165	Proteobacteria
GCF000376245	Actinobacteria
GCF000600975	Proteobacteria
GCF001705235	Firmicutes
GCF000621125	Bacteroidetes
GCF900143155	not_annotated
GCF002082905	Proteobacteria
GCF000159115	Actinobacteria
GCF000463505	Firmicutes
GCF000756615	Firmicutes
GCF000162575	Proteobacteria
GCF001677335	Proteobacteria
GCF000513115	Firmicutes
GCF000158195	Fusobacteria
GCF001297765	Proteobacteria
GCF000014125	Firmicutes
GCF000213935	Actinobacteria
GCF001717135	Firmicutes
GCF001403615	Firmicutes
GCF001026985	Proteobacteria
GCF001458415	Proteobacteria
GCF002222635	Proteobacteria
GCF001553005	Firmicutes
GCF000701405	Deinococcus-Thermus
GCF000165505	Fusobacteria
GCF000422305	Proteobacteria
GCF002142615	Proteobacteria
GCF000508165	Proteobacteria
GCF000422965	Proteobacteria
GCF000009145	Proteobacteria
GCF000718325	Actinobacteria
GCF000424625	Actinobacteria
GCF000243215	Bacteroidetes
GCF000371705	Firmicutes
GCF900101865	Proteobacteria
GCF001187435	Actinobacteria
GCF000520955	Bacteroidetes
GCF001467585	Proteobacteria
GCF001038485	Firmicutes
GCF900101895	Bacteroidetes
GCF000348905	Firmicutes
GCF000427405	Bacteroidetes
GCF000964085	Proteobacteria
GCF000967195	Firmicutes
GCF000741205	Actinobacteria
GCF900104655	Bacteroidetes
GCF001572875	Proteobacteria
GCF900156835	Proteobacteria
GCF000196015	Proteobacteria
GCF000423325	Proteobacteria
GCF001552375	Actinobacteria
GCF900116605	Proteobacteria
GCF000941055	Bacteroidetes
GCF000518765	Firmicutes
GCF000154205	Bacteroidetes
GCF001663675	Firmicutes
GCF000758985	Actinobacteria
GCF000243275	Bacteroidetes
GCF000024105	Firmicutes
GCF000974605	Proteobacteria
GCF000174755	Bacteroidetes
GCF900115045	Proteobacteria
GCF001866005	Firmicutes
GCF000739895	Proteobacteria
GCF002051585	Firmicutes
GCF001375535	Firmicutes
GCF001766835	Firmicutes
GCF000184745	Proteobacteria
GCF000423885	Proteobacteria
GCF001418105	Bacteroidetes
GCF001941945	Proteobacteria
GCF001641695	Proteobacteria
GCF002105555	Proteobacteria
GCF001657475	Actinobacteria
GCF000015645	not_annotated
GCF000340375	Firmicutes
GCF900114625	Acidobacteria
GCF900111015	Proteobacteria
GCF000162755	Proteobacteria
GCF000301055	Firmicutes
GCF000620925	Proteobacteria
GCF000350145	not_annotated
GCF001435345	Firmicutes
GCF900163795	not_annotated
GCF000242615	not_annotated
GCF001592285	Proteobacteria
GCF000518485	Bacteroidetes
GCF000019905	Firmicutes
GCF000372425	Firmicutes
GCF000720335	Actinobacteria
GCF000021925	Firmicutes
GCF000215955	Proteobacteria
GCF000737665	Bacteroidetes
GCF900095875	Firmicutes
GCF900172335	not_annotated
GCF001654695	Firmicutes
GCF001399775	Deinococcus-Thermus
GCF001904775	not_annotated
GCF002117405	Proteobacteria
GCF001262635	Proteobacteria
GCF001552855	Actinobacteria
